event_label,CRNN,BEATs,WavLM,CRNN + BEATs,CRNN + WavLM,CRNN + BEATs + WavLM
Alarm_bell_ringing,21.07,36.0092,21.0286,36.7531,16.8911,34.33
Blender,43.1,50.3771,46.1794,68.8928,44.2379,71.9858
Cat,29.86,42.9662,24.9756,46.79,27.4678,36.1842
Dishes,28.57,45.9075,40.2445,50.5299,38.2979,48.7437
Dog,32.69,41.5199,41.7157,44.4255,41.3322,39.2278
Electric_shaver_toothbrush,48.35,62.5828,47.8827,65.6716,48.0337,68.2043
Frying,65.94,61.0212,69.1293,66.0194,70.0809,68.2927
Running_water,49.47,51.17,49.1284,60.2871,55.3746,52.073
Speech,46.86,59.619,54.2198,62.3792,53.6312,60.1902
Vacuum_cleaner,68.27,79.0875,63.0037,84.453,73.1898,83.4286
