event_label,threshold,median_window,event_f1,segment_f1,pred_count,gt_count,baseline_event_f1,delta_event_f1
Alarm_bell_ringing,0.01,7,0.0366300366300366,0.739851747264384,3979,431,0.0,0.0366300366300366
Blender,0.01,15,0.6932849364791289,0.9592515592515592,2864,266,0.0,0.6932849364791289
Cat,0.01,7,0.0597701149425287,0.6890846010141447,3897,429,0.0,0.0597701149425287
Dishes,0.1,1,0.0542602797795676,0.3420029895366218,1897,1309,0.0,0.0542602797795676
Dog,0.1,1,0.0857142857142857,0.6338919925512104,3031,550,0.0,0.0857142857142857
Electric_shaver_toothbrush,0.01,15,0.5085910652920962,0.9499045801526717,2101,286,0.175,0.3335910652920962
Frying,0.01,15,0.8375165125495376,0.9730902777777778,2067,377,0.37300613496932516,0.46451037758021246
Running_water,0.01,15,0.551617873651772,0.9193916349809886,3153,306,0.0,0.551617873651772
Speech,0.5,7,0.1987914662720434,0.7403376948654834,4292,3927,0.19613091616985034,0.0026605501021930433
Vacuum_cleaner,0.01,15,0.9940357852882704,1.0,3688,251,0.09677419354838711,0.8972615917398833
